case,cores,single,current,current_seconds,current_winner,previous,previous_seconds,previous_winner,ops,components,largest_component_fraction,critical_fraction,dominant_pipe_fraction,shared_input_fraction,tensor_bytes_per_cycle,fanout_max,oracle,oracle_gain,oracle_pool_seconds,fold,chosen,offline_cv,offline_seconds
case_003,4,602212,329107,107.02365427277982,grain_0.25,329107,75.50931271351874,grain_0.25,13455,10,0.9806020066889632,0.03702317204223665,0.5743493620914656,0.4354656097428031,11.871431357586118,9,329107,0,182.53296698629856,4,current,329107,107.02365427277982
case_003,5,602212,294109,112.34736599214375,grain_0.25,294109,75.83214966021478,grain_0.25,13455,10,0.9806020066889632,0.03702317204223665,0.5743493620914656,0.4354656097428031,11.871431357586118,9,294109,0,188.17951565235853,4,current,294109,112.34736599214375
case_004,2,392357,199074,1.397112900041975,structural_component_lpt,199074,3.4190467093139887,structural_component_lpt,777,111,0.009009009009009009,0.006338135370393435,0.8894009216589862,1.0,10.479345705152157,2,199074,0,4.816159609355964,3,current,199074,1.397112900041975
case_004,3,392357,134043,1.3026253998978063,structural_component_lpt,134043,2.645970232784748,structural_component_lpt,777,111,0.009009009009009009,0.006338135370393435,0.8894009216589862,1.0,10.479345705152157,2,134043,0,3.9485956326825544,3,current,134043,1.3026253998978063
case_004,4,392357,104188,1.44962279999163,structural_component_lpt,104188,3.2467778120189905,structural_component_lpt,777,111,0.009009009009009009,0.006338135370393435,0.8894009216589862,1.0,10.479345705152157,2,104188,0,4.6964006120106205,3,current,104188,1.44962279999163
case_004,5,392357,88341,1.4084279000526294,structural_component_lpt,88341,2.7405906040221453,structural_component_lpt,777,111,0.009009009009009009,0.006338135370393435,0.8894009216589862,1.0,10.479345705152157,2,88341,0,4.149018504074775,3,current,88341,1.4084279000526294
case_005,2,95618,91571,19.404766730964184,grain_1.0,91571,17.311176290735602,grain_1.0,4113,1,1.0,0.055235073550620135,0.5118257859821171,0.7398422944464309,25.778338621286416,7,91571,0,36.715943021699786,3,current,91571,19.404766730964184
case_005,3,95618,88392,20.830163119360805,directed_split,88392,18.439715890213847,directed_split,4113,1,1.0,0.055235073550620135,0.5118257859821171,0.7398422944464309,25.778338621286416,7,88392,0,39.26987900957465,3,current,88392,20.830163119360805
case_005,4,95618,87624,21.929961355403066,region_boundary_2838_0,87624,17.665960654616356,region_boundary_2838_0,4113,1,1.0,0.055235073550620135,0.5118257859821171,0.7398422944464309,25.778338621286416,7,87624,0,39.59592201001942,3,current,87624,21.929961355403066
case_005,5,95618,87840,22.237771911546588,region_boundary_2838_0,87840,20.898987216874957,region_boundary_2838_0,4113,1,1.0,0.055235073550620135,0.5118257859821171,0.7398422944464309,25.778338621286416,7,87840,0,43.136759128421545,3,current,87840,22.237771911546588
case_006,2,82837,42379,1.1211157999932766,structural_component_lpt,42379,2.189514083787799,structural_component_lpt,678,27,0.20058997050147492,0.032352270134611,0.7871321013004792,0.7803719738469694,36.115560118640204,11,42379,0,3.3106298837810755,1,current,42379,1.1211157999932766
case_006,3,82837,32925,1.3033075999701396,local_reschedule,31819,2.5406300090253353,local_reschedule,678,27,0.20058997050147492,0.032352270134611,0.7871321013004792,0.7803719738469694,36.115560118640204,11,31819,1106,3.843937608995475,1,current,32925,1.3033075999701396
case_006,4,82837,31129,1.2129876000108197,region_boundary_343_0,31094,2.485897606238723,local_reschedule,678,27,0.20058997050147492,0.032352270134611,0.7871321013004792,0.7803719738469694,36.115560118640204,11,31094,35,3.6988852062495425,1,current,31129,1.2129876000108197
case_006,5,82837,31729,1.328386400011368,region_repartition_1_0,32579,2.5809013191610575,grain_1.0,678,27,0.20058997050147492,0.032352270134611,0.7871321013004792,0.7803719738469694,36.115560118640204,11,31729,0,3.9092877191724256,1,current,31729,1.328386400011368
case_007,2,1012562,507494,26.401923587545753,structural_component_lpt,507494,26.443496899679303,structural_component_lpt,3885,555,0.0018018018018018018,0.0013245678110542975,0.7945945945945946,1.0,9.017034331628926,2,507494,0,52.845420487225056,4,current,507494,26.401923587545753
case_007,3,1012562,338094,26.771724985912442,structural_component_lpt,338094,25.085573632270098,structural_component_lpt,3885,555,0.0018018018018018018,0.0013245678110542975,0.7945945945945946,1.0,9.017034331628926,2,338094,0,51.85729861818254,4,current,338094,26.771724985912442
case_007,4,1012562,254398,25.767222611233592,structural_component_lpt,254398,19.776766760274768,structural_component_lpt,3885,555,0.0018018018018018018,0.0013245678110542975,0.7945945945945946,1.0,9.017034331628926,2,254398,0,45.54398937150836,4,current,254398,25.767222611233592
case_007,5,1012562,203834,25.991107573732734,structural_component_lpt,203834,22.367192938923836,structural_component_lpt,3885,555,0.0018018018018018018,0.0013245678110542975,0.7945945945945946,1.0,9.017034331628926,2,203834,0,48.35830051265657,4,current,203834,25.991107573732734
case_008,2,487605,244266,1.5579082999611273,structural_component_lpt,244266,4.3908996023237705,structural_component_lpt,864,108,0.009259259259259259,0.009259259259259259,0.5132978723404256,0.0,25.957890070921987,2,244266,0,5.948807902284898,2,current,244266,1.5579082999611273
case_008,3,487605,163359,1.5156202999642119,structural_component_lpt,163359,4.36020446382463,structural_component_lpt,864,108,0.009259259259259259,0.009259259259259259,0.5132978723404256,0.0,25.957890070921987,2,163359,0,5.875824763788842,2,current,163359,1.5156202999642119
case_008,4,487605,123060,1.4231172000290826,structural_component_lpt,123060,4.193136030808091,structural_component_lpt,864,108,0.009259259259259259,0.009259259259259259,0.5132978723404256,0.0,25.957890070921987,2,123060,0,5.616253230837174,2,current,123060,1.4231172000290826
case_008,5,487605,100603,1.5511363999685273,structural_component_lpt,100603,4.256716508418322,structural_component_lpt,864,108,0.009259259259259259,0.009259259259259259,0.5132978723404256,0.0,25.957890070921987,2,100603,0,5.807852908386849,2,current,100603,1.5511363999685273
case_009,2,153261,92259,40.59786695614457,structural_hybrid_work_1,132262,21.621042976155877,grain_1.0,5671,25,0.8418268383001234,0.053820644659522986,0.6480729346698928,0.5915419007500091,15.163994987901832,6,92259,0,62.21890993230045,4,current,92259,40.59786695614457
case_009,3,153261,92004,41.07842209748924,structural_hybrid_work_1,117616,25.619274413213134,directed_split,5671,25,0.8418268383001234,0.053820644659522986,0.6480729346698928,0.5915419007500091,15.163994987901832,6,92004,0,66.69769651070237,4,current,92004,41.07842209748924
case_009,4,153261,92192,39.60864528641105,directed_split,117873,26.880288230255246,directed_split,5671,25,0.8418268383001234,0.053820644659522986,0.6480729346698928,0.5915419007500091,15.163994987901832,6,92192,0,66.4889335166663,4,current,92192,39.60864528641105
case_009,5,153261,91903,40.02630488201976,structural_hybrid_work_1,120100,28.247484385967255,region_boundary_4929_0,5671,25,0.8418268383001234,0.053820644659522986,0.6480729346698928,0.5915419007500091,15.163994987901832,6,91903,0,68.27378926798701,4,current,91903,40.02630488201976
case_010,2,86969,45626,1.1436751999426633,structural_component_pipe,45626,2.2100222017616034,structural_component_pipe,667,36,0.19940029985007496,0.03142668771102631,0.5543723652927897,0.8193335728680112,25.546380836313507,13,45626,0,3.3536974017042667,4,current,45626,1.1436751999426633
case_010,3,86969,34518,1.2128612999804318,local_reschedule,39104,1.773951904848218,grain_1.0,667,36,0.19940029985007496,0.03142668771102631,0.5543723652927897,0.8193335728680112,25.546380836313507,13,34518,0,2.9868132048286498,4,current,34518,1.2128612999804318
case_010,4,86969,30262,1.1238476000726223,region_repartition_2_0,33256,2.3752479441463947,random_boundary,667,36,0.19940029985007496,0.03142668771102631,0.5543723652927897,0.8193335728680112,25.546380836313507,13,30262,0,3.499095544219017,4,current,30262,1.1238476000726223
case_010,5,86969,28842,1.2383271000580862,grain_0.25,28842,2.555865593254566,grain_0.25,667,36,0.19940029985007496,0.03142668771102631,0.5543723652927897,0.8193335728680112,25.546380836313507,13,28842,0,3.7941926933126524,4,current,28842,1.2383271000580862
case_011,2,184697,92646,1.1634724999312311,structural_component_lpt,92646,3.372195603325963,structural_component_lpt,688,16,0.0625,0.010096007314843036,0.8783907345321549,1.0,15.995123437976227,1,92646,0,4.535668103257194,4,current,92646,1.1634724999312311
case_011,3,184697,69625,1.253800299949944,structural_component_lpt,69625,3.4468317050486803,structural_component_lpt,688,16,0.0625,0.010096007314843036,0.8783907345321549,1.0,15.995123437976227,1,69625,0,4.700632004998624,4,current,69625,1.253800299949944
case_011,4,184697,46880,1.3344503999687731,structural_component_lpt,46880,2.8942015804350376,structural_component_lpt,688,16,0.0625,0.010096007314843036,0.8783907345321549,1.0,15.995123437976227,1,46880,0,4.228651980403811,4,current,46880,1.3344503999687731
case_011,5,184697,47047,1.4547642999095842,directed_split,47047,2.4536536578089,directed_split,688,16,0.0625,0.010096007314843036,0.8783907345321549,1.0,15.995123437976227,1,47047,0,3.908417957718484,4,current,47047,1.4547642999095842
case_012,2,59088,29489,1.9327172000193968,region_boundary_1039_0,29489,5.1940299943089485,region_boundary_1039_0,972,50,0.10082304526748971,0.03695674615464024,0.5245911309708151,0.6498339172395557,21.996283679157635,7,29489,0,7.126747194328345,1,current,29489,1.9327172000193968
case_012,3,59088,20230,1.7150847000302747,region_repartition_2_0,20230,3.4529920294880867,region_repartition_2_0,972,50,0.10082304526748971,0.03695674615464024,0.5245911309708151,0.6498339172395557,21.996283679157635,7,20230,0,5.168076729518361,1,current,20230,1.7150847000302747
case_012,4,59088,15724,2.037958599976264,region_boundary_157_0,15724,4.04251872561872,region_boundary_157_0,972,50,0.10082304526748971,0.03695674615464024,0.5245911309708151,0.6498339172395557,21.996283679157635,7,15724,0,6.080477325594984,1,current,15724,2.037958599976264
case_012,5,59088,13406,1.8328679000260308,structural_component_lpt,13406,5.2331095188856125,structural_component_lpt,972,50,0.10082304526748971,0.03695674615464024,0.5245911309708151,0.6498339172395557,21.996283679157635,7,13406,0,7.065977418911643,1,current,13406,1.8328679000260308
case_013,2,263949,132198,13.9469357393682,structural_component_lpt,132198,13.297433607280254,structural_component_lpt,1968,246,0.0040650406504065045,0.001302897644361059,0.8589743589743589,0.004048582995951417,19.718991036064207,1,132198,0,27.244369346648455,1,current,132198,13.9469357393682
case_013,3,263949,88351,14.116345904767513,structural_component_lpt,88351,13.40358193591237,structural_component_lpt,1968,246,0.0040650406504065045,0.001302897644361059,0.8589743589743589,0.004048582995951417,19.718991036064207,1,88351,0,27.519927840679884,1,current,88351,14.116345904767513
case_013,4,263949,66982,13.7853725515306,structural_component_lpt,66982,13.141944978386164,structural_component_lpt,1968,246,0.0040650406504065045,0.001302897644361059,0.8589743589743589,0.004048582995951417,19.718991036064207,1,66982,0,26.927317529916763,1,current,66982,13.7853725515306
case_013,5,263949,54363,12.63535769842565,structural_component_lpt,54363,12.665459923446178,structural_component_lpt,1968,246,0.0040650406504065045,0.001302897644361059,0.8589743589743589,0.004048582995951417,19.718991036064207,1,54363,0,25.30081762187183,1,current,54363,12.63535769842565
case_014,2,17698626,8909568,311.56475827656686,structural_component_round_robin,8909568,371.359644819051,structural_component_round_robin,35705,1340,0.0034729029547682397,0.0016934740012963807,0.9125174046197174,0.998140368294248,9.715294960495141,2,8909568,0,682.9244030956179,0,current,8909568,311.56475827656686
case_014,3,17698626,6002519,357.1129451543093,structural_component_pipe,6002519,407.54173647612333,structural_component_pipe,35705,1340,0.0034729029547682397,0.0016934740012963807,0.9125174046197174,0.998140368294248,9.715294960495141,2,6002519,0,764.6546816304326,0,current,6002519,357.1129451543093
case_014,4,17698626,4543360,313.94561481289566,structural_component_round_robin,4543360,361.9852443449199,structural_component_round_robin,35705,1340,0.0034729029547682397,0.0016934740012963807,0.9125174046197174,0.998140368294248,9.715294960495141,2,4543360,0,675.9308591578156,0,current,4543360,313.94561481289566
case_014,5,17698626,3694137,314.01190965250134,structural_component_round_robin,3694137,381.7868993766606,structural_component_round_robin,35705,1340,0.0034729029547682397,0.0016934740012963807,0.9125174046197174,0.998140368294248,9.715294960495141,2,3694137,0,695.7988090291619,0,current,3694137,314.01190965250134
case_015,2,177362,90480,1.8245754999807104,structural_component_lpt,90480,5.4683409743011,structural_component_lpt,1013,46,0.14313919052319843,0.040274434157687666,0.5165846384055132,0.8294708089028381,21.0361721728243,11,90480,0,7.29291647428181,3,current,90480,1.8245754999807104
case_015,3,177362,61018,2.0704903999576345,structural_component_pipe,61018,4.171139957383275,structural_component_pipe,1013,46,0.14313919052319843,0.040274434157687666,0.5165846384055132,0.8294708089028381,21.0361721728243,11,61018,0,6.2416303573409095,3,current,61018,2.0704903999576345
case_015,4,177362,48866,1.9287112000165507,structural_component_lpt,48866,5.520855784416199,structural_component_lpt,1013,46,0.14313919052319843,0.040274434157687666,0.5165846384055132,0.8294708089028381,21.0361721728243,11,48866,0,7.4495669844327495,3,current,48866,1.9287112000165507
case_015,5,177362,44068,2.0725204000482336,structural_component_lpt,44068,5.2258798480033875,structural_component_lpt,1013,46,0.14313919052319843,0.040274434157687666,0.5165846384055132,0.8294708089028381,21.0361721728243,11,44068,0,7.298400248051621,3,current,44068,2.0725204000482336
case_016,2,7715523,5440637,119.73983779363334,directed_split,5440637,100.2206537052989,directed_split,17995,1,1.0,0.08491796797786123,1.0,1.0,46.688406119268045,12,5440637,0,219.96049149893224,0,current,5440637,119.73983779363334
case_016,3,7715523,4478897,121.93213598057628,directed_split,4478897,99.778130447492,directed_split,17995,1,1.0,0.08491796797786123,1.0,1.0,46.688406119268045,12,4478897,0,221.71026642806828,0,current,4478897,121.93213598057628
case_016,4,7715523,4266542,122.72553174942732,directed_split,4266542,96.04565201513469,directed_split,17995,1,1.0,0.08491796797786123,1.0,1.0,46.688406119268045,12,4266542,0,218.771183764562,0,current,4266542,122.72553174942732
case_016,5,7715523,4158373,122.27789946831763,directed_split,4158373,108.08373861946166,directed_split,17995,1,1.0,0.08491796797786123,1.0,1.0,46.688406119268045,12,4158373,0,230.36163808777928,0,current,4158373,122.27789946831763
case_017,2,162810,81117,8.16204003430903,directed_split,81117,7.828065851703286,directed_split,1373,60,0.11798980335032774,0.033632917514988585,0.622040247016344,0.8755190443976842,13.47431412470051,8,81117,0,15.990105886012316,1,current,81117,8.16204003430903
case_017,3,162810,53799,7.105870356783271,region_repartition_2_0,53799,8.269366951659322,region_repartition_2_0,1373,60,0.11798980335032774,0.033632917514988585,0.622040247016344,0.8755190443976842,13.47431412470051,8,53799,0,15.375237308442593,1,current,53799,7.105870356783271
case_017,4,162810,41101,7.1014857199043036,region_repartition_2_0,41101,8.276203339919448,region_repartition_2_0,1373,60,0.11798980335032774,0.033632917514988585,0.622040247016344,0.8755190443976842,13.47431412470051,8,41101,0,15.377689059823751,1,current,41101,7.1014857199043036
case_017,5,162810,33081,8.792205795645714,region_repartition_2_0,33081,8.280238803476095,region_repartition_2_0,1373,60,0.11798980335032774,0.033632917514988585,0.622040247016344,0.8755190443976842,13.47431412470051,8,33081,0,17.07244459912181,1,current,33081,8.792205795645714
case_018,2,1004367,501235,17.818669594824314,directed_split,501235,15.694281237199903,directed_split,2727,126,0.021635496883021636,0.0032646065544886726,0.8960095050878603,0.8480845110749996,9.7687341278224,2,501235,0,33.51295083202422,1,current,501235,17.818669594824314
case_018,3,1004367,336388,20.790859216824174,directed_split,336388,19.513343151658773,directed_split,2727,126,0.021635496883021636,0.0032646065544886726,0.8960095050878603,0.8480845110749996,9.7687341278224,2,336388,0,40.30420236848295,1,current,336388,20.790859216824174
case_018,4,1004367,253676,20.64489928819239,structural_component_lpt,253676,20.249349169433117,structural_component_lpt,2727,126,0.021635496883021636,0.0032646065544886726,0.8960095050878603,0.8480845110749996,9.7687341278224,2,253676,0,40.89424845762551,1,current,253676,20.64489928819239
case_018,5,1004367,203806,21.422647716477513,region_repartition_2_0,203806,20.599564094096422,region_repartition_2_0,2727,126,0.021635496883021636,0.0032646065544886726,0.8960095050878603,0.8480845110749996,9.7687341278224,2,203806,0,42.022211810573936,1,current,203806,21.422647716477513
case_019,2,81144,40136,1.0341206999728456,region_boundary_1018_0,40136,2.60202925093472,region_boundary_1018_0,647,31,0.26275115919629055,0.1379069348002525,0.5459915231310307,0.580010264878495,17.145414374605465,2,40136,0,3.6361499509075657,0,current,40136,1.0341206999728456
case_019,3,81144,27848,1.1255936999805272,region_boundary_1018_0,27848,2.8648871779441833,region_boundary_1018_0,647,31,0.26275115919629055,0.1379069348002525,0.5459915231310307,0.580010264878495,17.145414374605465,2,27848,0,3.9904808779247105,0,current,27848,1.1255936999805272
case_019,4,81144,24465,1.0413084001047537,region_boundary_1018_0,25256,1.9571526125073433,region_boundary_549_0,647,31,0.26275115919629055,0.1379069348002525,0.5459915231310307,0.580010264878495,17.145414374605465,2,24465,0,2.998461012612097,0,current,24465,1.0413084001047537
case_019,5,81144,23450,1.207967899972573,directed_split,23450,1.9874681569635868,directed_split,647,31,0.26275115919629055,0.1379069348002525,0.5459915231310307,0.580010264878495,17.145414374605465,2,23450,0,3.1954360569361597,0,current,23450,1.207967899972573
case_020,2,532746,266580,33.70305010303855,structural_component_lpt,266580,34.97290086001158,structural_component_lpt,7008,288,0.003995433789954338,0.003424657534246575,1.0,1.0,56.10958904109589,2,266580,0,68.67595096305013,1,current,266580,33.70305010303855
case_020,3,532746,177950,38.37339797988534,structural_component_lpt,177950,29.46001187339425,structural_component_lpt,7008,288,0.003995433789954338,0.003424657534246575,1.0,1.0,56.10958904109589,2,177950,0,67.83340985327959,1,current,177950,38.37339797988534
case_020,4,532746,133704,36.48022636398673,structural_component_lpt,133704,32.198134208098054,structural_component_lpt,7008,288,0.003995433789954338,0.003424657534246575,1.0,1.0,56.10958904109589,2,133704,0,68.67836057208478,1,current,133704,36.48022636398673
case_020,5,532746,107650,36.09406760893762,structural_component_lpt,107650,28.17351039685309,structural_component_lpt,7008,288,0.003995433789954338,0.003424657534246575,1.0,1.0,56.10958904109589,2,107650,0,64.26757800579071,1,current,107650,36.09406760893762
case_021,2,6567937,3168548,32.63503815419972,directed_split,3168548,23.59308839403093,directed_split,3920,80,0.0125,0.0007947976878612717,0.8876961189099918,1.0,7.243233324158179,1,3168548,0,56.22812654823065,3,current,3168548,32.63503815419972
case_021,3,6567937,2124156,35.80320024676621,grain_1.0,2124156,24.52293019928038,grain_1.0,3920,80,0.0125,0.0007947976878612717,0.8876961189099918,1.0,7.243233324158179,1,2124156,0,60.32613044604659,3,current,2124156,35.80320024676621
case_021,4,6567937,1550324,34.974353056401014,structural_memory_lpt,1611899,21.50126708857715,region_boundary_459_0,3920,80,0.0125,0.0007947976878612717,0.8876961189099918,1.0,7.243233324158179,1,1550324,0,56.475620144978166,3,current,1550324,34.974353056401014
case_021,5,6567937,1249916,40.700626811012626,directed_split,1313319,23.649000426754355,directed_split,3920,80,0.0125,0.0007947976878612717,0.8876961189099918,1.0,7.243233324158179,1,1249916,0,64.34962723776698,3,current,1249916,40.700626811012626
case_022,2,56780,28303,2.3317997999256477,structural_component_pipe,28303,7.117866285145283,structural_component_pipe,1356,32,0.13495575221238937,0.03390756517730618,0.9234433422683581,0.8656270487964784,34.556384558911404,10,28303,0,9.44966608507093,0,current,28303,2.3317997999256477
case_022,3,56780,18978,2.4297884999541566,structural_component_lpt,18978,7.1335343681275845,structural_component_lpt,1356,32,0.13495575221238937,0.03390756517730618,0.9234433422683581,0.8656270487964784,34.556384558911404,10,18978,0,9.563322868081741,0,current,18978,2.4297884999541566
case_022,4,56780,14336,2.4005671000340953,structural_component_lpt,14336,6.666342651471496,structural_component_lpt,1356,32,0.13495575221238937,0.03390756517730618,0.9234433422683581,0.8656270487964784,34.556384558911404,10,14336,0,9.066909751505591,0,current,14336,2.4005671000340953
case_022,5,56780,11479,2.245570100028999,directed_split,11479,6.719360858201981,directed_split,1356,32,0.13495575221238937,0.03390756517730618,0.9234433422683581,0.8656270487964784,34.556384558911404,10,11479,0,8.96493095823098,0,current,11479,2.245570100028999
case_023,2,122614,61065,1.800472299917601,structural_component_lpt,61065,5.094008611515164,structural_component_lpt,1011,43,0.12561819980217606,0.031728122038182066,0.5232206526154263,0.5753359654659289,19.09995336312076,7,61065,0,6.894480911432765,2,current,61065,1.800472299917601
case_023,3,122614,40682,1.7728227000916377,structural_component_lpt,40682,5.118682628497481,structural_component_lpt,1011,43,0.12561819980217606,0.031728122038182066,0.5232206526154263,0.5753359654659289,19.09995336312076,7,40682,0,6.891505328589119,2,current,40682,1.7728227000916377
case_023,4,122614,30516,1.6921917999861762,structural_component_lpt,30516,5.075666967779398,structural_component_lpt,1011,43,0.12561819980217606,0.031728122038182066,0.5232206526154263,0.5753359654659289,19.09995336312076,7,30516,0,6.767858767765574,2,current,30516,1.6921917999861762
case_023,5,122614,24940,1.9564162999158725,structural_component_pipe,24940,5.040840074419975,structural_component_pipe,1011,43,0.12561819980217606,0.031728122038182066,0.5232206526154263,0.5753359654659289,19.09995336312076,7,24940,0,6.997256374335848,2,current,24940,1.9564162999158725
case_024,2,2555343,1803647,30.001189816743135,grain_0.25,1803647,27.891308253630996,grain_0.25,5959,1,1.0,0.08491796797786123,1.0,1.0,46.79135116516198,12,1803647,0,57.89249807037413,3,current,1803647,30.001189816743135
case_024,3,2555343,1483888,29.532953960821033,directed_split,1483888,27.794584715738893,directed_split,5959,1,1.0,0.08491796797786123,1.0,1.0,46.79135116516198,12,1483888,0,57.327538676559925,3,current,1483888,29.532953960821033
case_024,4,2555343,1413568,29.19908127374947,directed_split,1413568,22.362391838803887,directed_split,5959,1,1.0,0.08491796797786123,1.0,1.0,46.79135116516198,12,1413568,0,51.56147311255336,3,current,1413568,29.19908127374947
case_024,5,2555343,1378992,31.326928017660975,directed_split,1378992,28.006029484793544,directed_split,5959,1,1.0,0.08491796797786123,1.0,1.0,46.79135116516198,12,1378992,0,59.33295750245452,3,current,1378992,31.326928017660975
case_025,2,4863026,2431840,256.91284109279513,structural_component_lpt,2431840,251.9173333980143,structural_component_lpt,18662,2666,0.00037509377344336085,0.0002757446118286328,0.7945945945945946,1.0,8.999266032724398,2,2431840,0,508.83017449080944,1,current,2431840,256.91284109279513
case_025,3,4863026,1622164,255.76419060118496,structural_component_lpt,1622164,246.24978647753596,structural_component_lpt,18662,2666,0.00037509377344336085,0.0002757446118286328,0.7945945945945946,1.0,8.999266032724398,2,1622164,0,502.0139770787209,1,current,1622164,255.76419060118496
case_025,4,4863026,1217444,254.95160405524075,structural_component_lpt,1217444,256.4610758256167,structural_component_lpt,18662,2666,0.00037509377344336085,0.0002757446118286328,0.7945945945945946,1.0,8.999266032724398,2,1217444,0,511.41267988085747,1,current,1217444,254.95160405524075
case_025,5,4863026,975282,253.2495682965964,structural_component_lpt,975282,224.36268017999828,structural_component_lpt,18662,2666,0.00037509377344336085,0.0002757446118286328,0.7945945945945946,1.0,8.999266032724398,2,975282,0,477.6122484765947,1,current,975282,253.2495682965964
case_026,2,99203,51839,0.9996700000483543,region_boundary_854_0,51839,2.955663461238146,region_boundary_854_0,636,31,0.3113207547169811,0.038645311381531856,0.6332140300644238,0.8114775223671776,33.334717251252684,10,51839,0,3.9553334612865,0,current,51839,0.9996700000483543
case_026,3,99203,42174,1.1626142000313848,region_boundary_938_0,50092,2.1284536477178335,directed_split,636,31,0.3113207547169811,0.038645311381531856,0.6332140300644238,0.8114775223671776,33.334717251252684,10,42174,0,3.2910678477492183,0,current,42174,1.1626142000313848
case_026,4,99203,42089,1.1360264000250027,region_repartition_1_0,50038,2.327751312404871,directed_split,636,31,0.3113207547169811,0.038645311381531856,0.6332140300644238,0.8114775223671776,33.334717251252684,10,42089,0,3.4637777124298736,0,current,42089,1.1360264000250027
case_026,5,99203,43946,1.2205426000291482,region_repartition_2_0,50757,1.4904836174100637,directed_split,636,31,0.3113207547169811,0.038645311381531856,0.6332140300644238,0.8114775223671776,33.334717251252684,10,43946,0,2.711026217439212,0,current,43946,1.2205426000291482
case_027,2,2363952,1116984,9.43078549951315,structural_memory_batches,1157230,7.232874810695648,directed_split,1424,16,0.0625,0.00836448954677247,0.8858538074164505,1.0,7.686250572256982,1,1116984,0,16.663660310208797,0,current,1116984,9.43078549951315
case_027,3,2363952,804739,11.50374480895698,directed_split,816499,6.427865367382765,grain_0.25,1424,16,0.0625,0.00836448954677247,0.8858538074164505,1.0,7.686250572256982,1,804739,0,17.931610176339746,0,current,804739,11.50374480895698
case_027,4,2363952,559196,9.7811283711344,structural_memory_lpt,644890,7.409526551142335,grain_0.25,1424,16,0.0625,0.00836448954677247,0.8858538074164505,1.0,7.686250572256982,1,559196,0,17.190654922276735,0,current,559196,9.7811283711344
case_027,5,2363952,558753,11.51351574063301,structural_memory_lpt,644890,5.196317821741104,grain_0.25,1424,16,0.0625,0.00836448954677247,0.8858538074164505,1.0,7.686250572256982,1,558753,0,16.709833562374115,0,current,558753,11.51351574063301
case_028,2,43836040,20808183,193.37105559185147,grain_1.0,20808183,123.66986957006156,grain_1.0,19584,153,0.006535947712418301,0.006027231552592343,0.9517575322812052,0.5333142693737489,2.4054069260415787,2,20808183,0,317.04092516191304,3,current,20808183,193.37105559185147
case_028,3,43836040,13957556,178.829605916515,directed_split,13957556,125.23853906989098,directed_split,19584,153,0.006535947712418301,0.006027231552592343,0.9517575322812052,0.5333142693737489,2.4054069260415787,2,13957556,0,304.06814498640597,3,current,13957556,178.829605916515
